period,period_start,period_end,level,id,title,repos,merged_prs,noise_prs,integration_prs,ticket_count,dev_time_median_h,dev_time_p85_h,queue_median_h,queue_p85_h,queue_samples,tickets_reached_main_pct,tickets_via_team,tickets_on_main,tickets_multi_repo,multi_repo_pct,unjoined_ticket_pct,cycle_time_median_h,cycle_time_p85_h,cycle_time_samples,cycle_to_team_median_h,cycle_to_team_p85_h,cycle_to_team_samples,cycle_to_main_median_h,cycle_to_main_p85_h,cycle_to_main_samples,direct_to_main_pct,delivery_model,trunk_based_repos,time_to_main_median_h,time_to_main_p85_h,time_to_main_samples,time_to_main_coverage_pct,reached_main_pct,in_flight_changes,in_flight_pct,in_flight_median_age_h,in_flight_p85_age_h,on_main_undated,branch_deleted,time_to_main_unknown,lead_time_median_d,lead_time_p85_d,release_wait_median_d,shipped_changes,lead_samples,shipped_estimated_dates,shipped_untraceable,change_failure_rate_pct,corrective_changes,deployments,failed_deployments,cfr_source,defect_escape_rate_pct,escaped_defects,caught_defects,der_source,generated_at
2026-03,2026-03-01,2026-04-01,product,legacy-case-migration-system,Legacy Case Migration System,2,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,management-information-system,Management Information System,3,20,0,3,9,333.4,664.9,,,0,0.0,7,0,4,44.4,0.0,2.8,48.4,20,4.1,53.5,18,0.8,0.9,2,10.0,team-branch,0,0.8,0.9,2,10.0,10.0,18,90.0,3934.9,4450.9,0,0,0,,,16.6,2,0,0,2,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,notify-system,Notify System,1,2,0,0,2,70.9,120.2,,,0,0.0,2,0,1,50.0,0.0,1.7,2.7,2,1.7,2.7,2,,,0,0.0,team-branch,0,,,0,0.0,0.0,2,100.0,3980.7,4014.6,0,0,0,34.8,42.8,23.1,3,2,0,1,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,reference-data-system,Reference Data System,4,7,0,8,7,17.3,4517.3,,,0,0.0,1,0,3,42.9,57.1,17.3,4517.3,7,5809.9,5809.9,1,10.2,3759.0,6,85.7,mixed,1,10.2,3759.0,6,85.7,85.7,1,14.3,9844.4,9844.4,0,0,0,136.2,179.0,12.3,7,4,0,3,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,results-distribution-system,Results Distribution System,7,37,0,22,34,18.3,532.0,,,0,3.3,30,1,9,26.5,20.6,2.9,111.9,37,3.1,92.3,32,2.9,2719.0,5,13.5,team-branch,0,2.9,2719.0,5,13.5,18.9,30,81.1,4057.4,4372.3,2,0,0,44.2,196.7,22.2,10,3,0,7,0.0,0,,,github-corrective-prs,,0,3,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,scheduling-system,Scheduling System,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,scheduling-and-listing-system,Scheduling and Listing System,7,28,5,2,27,19.5,138.0,,,0,0.0,23,0,3,11.1,14.8,11.4,114.8,28,17.6,237.2,24,3.0,11.0,4,14.3,mixed,1,3.0,11.0,4,14.3,14.3,24,85.7,4416.1,4557.1,0,0,0,8.6,8.8,4.3,2,2,0,0,0.0,0,,,github-corrective-prs,,0,7,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,spi,Standard Prosecutor Interface (SPI),1,8,0,1,4,199.7,1051.3,,,0,25.0,4,1,3,75.0,0.0,0.4,1.3,8,0.4,1.3,8,,,0,0.0,team-branch,0,,,0,0.0,25.0,6,75.0,4179.6,4387.9,2,0,0,,,23.1,1,0,0,1,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,support-system,Support System,1,1,0,0,1,141.4,141.4,,,0,0.0,1,0,1,100.0,0.0,2.2,2.2,1,2.2,2.2,1,,,0,0.0,team-branch,0,,,0,0.0,0.0,1,100.0,3931.3,3931.3,0,0,0,,,34.6,2,0,0,2,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,ssystem-announcement-system,System Announcement System,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,34.6,2,0,0,2,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
